[2025-01-27 00:22:37,328](main) Filepid(/run/user/1000/srv11.pid) exists, but the process is not started! Delete filepid
[2025-01-27 23:40:39,701](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A016 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085d160>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:40:59,333](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A019 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf086a430>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:44:38,581](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A118 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf0868610>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:44:59,825](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A118 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085d6d0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:45:12,851](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A118 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08a4f70>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:49:42,629](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A119 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08684f0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:57:48,513](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A119 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085b7f0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-28 00:01:55,316](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A11 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085b2e0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-28 00:31:52,879](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A11 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf0868880>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-28 00:33:56,887](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A12 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08a4c70>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-28 00:36:12,641](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A13 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085d160>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-28 00:36:24,594](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A13 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085d4f0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
